Rep	Treatment	Head	Dseed			
1	AgriMek	1	0			
1	AgriMek	2	0			
1	AgriMek	3	0			
1	AgriMek	4	0			
1	AgriMek	5	1			
1	AgriMek	6	0			
1	AgriMek	7	0			
1	AgriMek	8	0			
1	AgriMek	9	0			
1	AgriMek	10	0			
1	AgriMek	11	1			
1	AgriMek	12	0			
1	AgriMek	13	0			
1	AgriMek	14	0			
1	AgriMek	15	0			
1	AgriMek	16	1			
1	AgriMek	17	2			
1	AgriMek	18	0			
1	AgriMek	19	1			
1	AgriMek	20	0			
1	AgriMek	21	0			
1	AgriMek	22	0			
1	AgriMek	23	0			
1	AgriMek	24	0			
1	AgriMek	25	0			
2	AgriMek	1	0			
2	AgriMek	2	0			
2	AgriMek	3	0			
2	AgriMek	4	0			
2	AgriMek	5	0			
2	AgriMek	6	0			
2	AgriMek	7	0			
2	AgriMek	8	0			
2	AgriMek	9	0			
2	AgriMek	10	0			
2	AgriMek	11	0			
2	AgriMek	12	0			
2	AgriMek	13	0			
2	AgriMek	14	0			
2	AgriMek	15	0			
2	AgriMek	16	0			
2	AgriMek	17	0			
2	AgriMek	18	0			
2	AgriMek	19	0			
2	AgriMek	20	0			
2	AgriMek	21	0			
2	AgriMek	22	0			
2	AgriMek	23	0			
2	AgriMek	24	0			
2	AgriMek	25	0			
3	AgriMek	1	0			
3	AgriMek	2	0			
3	AgriMek	3	0			
3	AgriMek	4	0			
3	AgriMek	5	1			
3	AgriMek	6	1			
3	AgriMek	7	0			
3	AgriMek	8	0			
3	AgriMek	9	2			
3	AgriMek	10	1			
3	AgriMek	11	0			
3	AgriMek	12	0			
3	AgriMek	13	1			
3	AgriMek	14	0			
3	AgriMek	15	0			
3	AgriMek	16	1			
3	AgriMek	17	0			
3	AgriMek	18	0			
3	AgriMek	19	2			
3	AgriMek	20	0			
3	AgriMek	21	1			
3	AgriMek	22	0			
3	AgriMek	23	0			
3	AgriMek	24	0			
3	AgriMek	25	2			
4	AgriMek	1	0			
4	AgriMek	2	0			
4	AgriMek	3	0			
4	AgriMek	4	1			
4	AgriMek	5	0			
4	AgriMek	6	0			
4	AgriMek	7	0			
4	AgriMek	8	1			
4	AgriMek	9	0			
4	AgriMek	10	0			
4	AgriMek	11	0			
4	AgriMek	12	1			
4	AgriMek	13	0			
4	AgriMek	14	0			
4	AgriMek	15	1			
4	AgriMek	16	0			
4	AgriMek	17	0			
4	AgriMek	18	0			
4	AgriMek	19	0			
4	AgriMek	20	0			
4	AgriMek	21	0			
4	AgriMek	22	0			
4	AgriMek	23	0			
4	AgriMek	24	0			
4	AgriMek	25	1			
1	Azera	1	1			
1	Azera	2	0			
1	Azera	3	0			
1	Azera	4	0			
1	Azera	5	0			
1	Azera	6	2			
1	Azera	7	0			
1	Azera	8	0			
1	Azera	9	0			
1	Azera	10	0			
1	Azera	11	0			
1	Azera	12	2			
1	Azera	13	0			
1	Azera	14	0			
1	Azera	15	0			
1	Azera	16	0			
1	Azera	17	0			
1	Azera	18	1			
1	Azera	19	0			
1	Azera	20	0			
1	Azera	21	0			
1	Azera	22	0			
1	Azera	23	0			
1	Azera	24	0			
1	Azera	25	1			
2	Azera	1	0			
2	Azera	2	2			
2	Azera	3	1			
2	Azera	4	0			
2	Azera	5	0			
2	Azera	6	3			
2	Azera	7	1			
2	Azera	8	0			
2	Azera	9	0			
2	Azera	10	1			
2	Azera	11	0			
2	Azera	12	5			
2	Azera	13	1			
2	Azera	14	2			
2	Azera	15	0			
2	Azera	16	1			
2	Azera	17	0			
2	Azera	18	0			
2	Azera	19	0			
2	Azera	20	0			
2	Azera	21	0			
2	Azera	22	0			
2	Azera	23	0			
2	Azera	24	5			
2	Azera	25	0			
3	Azera	1	0			
3	Azera	2	1			
3	Azera	3	0			
3	Azera	4	0			
3	Azera	5	0			
3	Azera	6	1			
3	Azera	7	2			
3	Azera	8	2			
3	Azera	9	0			
3	Azera	10	0			
3	Azera	11	1			
3	Azera	12	0			
3	Azera	13	0			
3	Azera	14	0			
3	Azera	15	0			
3	Azera	16	1			
3	Azera	17	1			
3	Azera	18	0			
3	Azera	19	1			
3	Azera	20	2			
3	Azera	21	0			
3	Azera	22	0			
3	Azera	23	0			
3	Azera	24	0			
3	Azera	25	0			
4	Azera	1	0			
4	Azera	2	0			
4	Azera	3	0			
4	Azera	4	0			
4	Azera	5	0			
4	Azera	6	0			
4	Azera	7	0			
4	Azera	8	0			
4	Azera	9	0			
4	Azera	10	0			
4	Azera	11	1			
4	Azera	12	0			
4	Azera	13	0			
4	Azera	14	3			
4	Azera	15	0			
4	Azera	16	0			
4	Azera	17	1			
4	Azera	18	0			
4	Azera	19	0			
4	Azera	20	0			
4	Azera	21	1			
4	Azera	22	0			
4	Azera	23	0			
4	Azera	24	0			
4	Azera	25	0			
1	Blackhawk	1	0			
1	Blackhawk	2	0			
1	Blackhawk	3	0			
1	Blackhawk	4	0			
1	Blackhawk	5	0			
1	Blackhawk	6	0			
1	Blackhawk	7	0			
1	Blackhawk	8	0			
1	Blackhawk	9	1			
1	Blackhawk	10	0			
1	Blackhawk	11	1			
1	Blackhawk	12	0			
1	Blackhawk	13	0			
1	Blackhawk	14	0			
1	Blackhawk	15	0			
1	Blackhawk	16	0			
1	Blackhawk	17	0			
1	Blackhawk	18	0			
1	Blackhawk	19	0			
1	Blackhawk	20	0			
1	Blackhawk	21	0			
